Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
"John D. Rockefeller, Jr. MEM PKWY",1099060,1139923,1222931,1147986,1197750,1228502,1264842,1430337,1411819,1433292,1257644
John Day Fossil Beds NM,112578,130925,135151,148002,148152,156285,183420,196277,210110,214557,163546
John F. Kennedy NHS,10090,16333,17466,18466,22642,17273,26273,18485,25467,30399,20289
John Muir NHS,28770,34516,34904,31236,37403,37777,41535,42615,49376,46876,38501
Johnstown Flood NMEM,135308,114350,100799,105906,123081,121923,141354,163431,154931,171376,133246
Joshua Tree NP,1392446,1304471,1434976,1396237,1396117,1383340,1589904,2025756,2505286,2853619,1728215
Kalaupapa NHP,60934,30654,27919,57841,58875,101112,67210,67891,71527,76512,62048
Kaloko Honokohau NHP,104835,166380,132731,162906,153584,158124,154206,170683,185041,196857,158535
Katmai NP & PRES,7970,43035,55172,48939,39818,28966,30896,37818,37818,37818,36825
Kenai Fjords NP,272190,218358,297596,346852,281279,283502,270666,296697,346534,303598,291727
Kennesaw Mountain NBP,1415917,1372228,1512191,1748436,1935909,1924076,2119013,2174870,2360256,2593725,1915662
Keweenaw NHP,,,,,,,,,14612,16479,15546
Kings Canyon NP,574870,609296,598205,566810,591033,567544,502268,468106,607479,692932,577854
Kings Mountain NMP,254997,277576,275555,272325,265713,247632,251093,257077,263357,291841,265717
Klondike Gold Rush NHP Alaska,935940,880512,797716,795150,854250,928150,1085202,919661,912351,906485,901542
Klondike Gold Rush NHP Seattle,58389,54219,65870,64898,60198,61942,62022,60372,69435,84759,64210
Knife River Indian Villages NHS,24798,29390,21721,16025,16010,14476,10750,11377,13328,11644,16952
Kobuk Valley NP,1565,1879,3164,11485,29550,16875,0,0,15500,15500,9552
Korean War Veterans Memorial,3654976,3117046,3072716,3073430,3267124,3209279,3767287,4077835,4084298,4155947,3547994
Lake Chelan NRA,25139,34554,39249,43827,40830,37315,35360,32186,45514,38464,37244
Lake Clark NP & PRES,6802,9711,9931,5158,11639,13000,16100,17818,21102,22755,13402
Lake Mead NRA,7601863,7668689,7080758,6396682,6285439,6344714,6942873,7298465,7175891,7882339,7067771
Lake Meredith NRA,875280,1080644,883586,734030,502457,554272,692195,831374,1025613,1329076,850853
Lake Roosevelt NRA,1337024,1382663,1324074,1523474,1781972,1254409,1180898,1170843,1253571,1304403,1351333
Lassen Volcanic NP,377361,365639,384570,351269,407653,427409,432977,468092,536068,507256,425829
Lava Beds NM,120076,129639,130765,124113,181429,105395,138499,108687,127699,135286,130159
LBJ Memorial Grove on the Potomac,411164,333368,230694,239058,371063,294979,254167,232882,260234,277403,290501
Lewis & Clark NHP,230057,225846,218553,191867,201704,217022,244921,270410,281576,293356,237531
Lincoln Boyhood NMEM,147123,182172,126228,108420,133550,125069,99795,111711,125562,143651,130328
Lincoln Home NHS,335473,464074,354125,296214,295464,209405,218132,233299,239719,232265,287817
Lincoln Memorial,4678861,5255570,6042315,5971220,6191361,6546518,7139072,7941771,7915934,7956117,6563874
Little Bighorn Battlefield NM,282233,302811,320959,312168,346327,277883,281436,317782,332328,296128,307006
Little River Canyon NPRES,197693,189251,192576,225549,201109,185477,224931,248135,462700,367058,249448
Little Rock Central High School NHS,42302,60103,49740,66106,63938,114144,115908,125956,129540,170413,93815
Longfellow NHS,59827,39065,45684,46596,52234,40554,46371,50784,49697,51606,48242
Lowell NHP,574410,565960,540475,520452,537551,517763,514524,531055,541825,562498,540651
Lyndon B. Johnson NHP,93204,98218,112680,100056,110791,82369,88427,124979,140303,146119,109715
Maggie L. Walker NHS,7367,9853,12331,10779,8276,7013,9045,7589,9589,10738,9258
Mammoth Cave NP,446174,503856,497225,483319,508054,494541,522628,566895,586514,587853,519706
Manassas NBP,594992,578383,612490,659740,600354,538888,514140,502045,534835,605577,574144
Manhattan Project NHP,,,,,,,,,104715,89599,97157
Manzanar NHS,78468,89190,76592,79587,72831,77511,77633,95327,105307,114461,86691
Marsh-Billings-Rockefeller NHP,37121,31129,31209,29049,32403,34112,39086,35003,55716,46523,37135
"Martin Luther King, Jr. Memorial",,,,1490358,3738336,3205654,3199136,3530401,3638208,3651093,3207598
"Martin Luther King, Jr. NHS",658873,650343,658452,666482,707514,704168,766030,673728,467715,584435,653774
Martin Van Buren NHS,21216,23216,21055,19287,22062,16229,19187,18547,22100,22023,20492
Mary McLeod Bethune Council House NHS,17635,21811,19520,18142,6646,5686,9295,8249,7149,277,11441
Mesa Verde NP,551446,550377,559712,572329,488860,460237,501563,547325,583527,613788,542916
Minidoka NHS,,,,,,,,,,11622,11622
Minute Man NHP,1067578,1096024,1073748,1002833,1001207,947894,1056549,964330,1049414,1023921,1028350
Minuteman Missile NHS,30615,36777,42348,59389,75654,76261,62058,100488,133895,143715,76120
Mississippi NRRA,,,,99398,106733,100111,85637,127635,256944,436734,173313
Missouri NRR,162086,186313,167301,179983,167776,169698,134760,145004,148210,119816,158095
Mojave NPRES,618285,528865,600897,536006,542527,549599,554560,589155,585635,716604,582213
Monocacy NB,31276,34553,33313,36674,47249,37647,56187,64596,87547,113820,54286
Montezuma Castle NM,603755,601465,578554,573731,455305,389091,407017,416635,392168,398174,481590
Moores Creek NB,44820,68864,51326,58118,79345,72330,87774,89944,83889,86747,72316
Morristown NHP,277203,298060,278392,222395,294606,304941,264363,218959,252514,268295,267973
Mount Rainier NP,1163227,1151654,1191754,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1201686
